                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88429,                0.55392,                 1.0745,                0.94052,                0.72059,                 0.8169,                0.44862,                 1.6707,                0.90588,                 1.6584,              0.0011833,              0.0011833,              0.0011833
                     36,                 0.8928,                0.53604,                 1.0659,                0.91327,                0.77436,                0.81669,                0.42776,                 1.7216,                0.91861,                 1.7624,              0.0011585,              0.0011585,              0.0011585
                     37,                0.88992,                0.53701,                  1.054,                0.86165,                0.77941,                0.82606,                0.49015,                 1.4583,                0.88066,                 1.6247,              0.0011337,              0.0011337,              0.0011337
                     38,                0.86363,                0.51869,                 1.0723,                0.83087,                0.79471,                0.84582,                0.48208,                 1.5294,                0.88661,                 1.5668,               0.001109,               0.001109,               0.001109
                     39,                0.89038,                0.52469,                 1.0626,                0.92526,                0.77941,                0.83789,                0.45755,                    1.6,                0.95453,                 1.6293,              0.0010842,              0.0010842,              0.0010842
                     40,                0.87354,                0.49792,                 1.0562,                0.90305,                0.82187,                0.86665,                0.47712,                 1.5687,                 0.8703,                 1.5979,              0.0010595,              0.0010595,              0.0010595
                     41,                0.83558,                0.49406,                 1.0313,                0.92335,                0.76471,                0.86332,                0.48977,                 1.5467,                0.89309,                 1.7087,              0.0010347,              0.0010347,              0.0010347
                     42,                0.82353,                0.49699,                 1.0386,                0.95157,                0.76471,                0.80971,                 0.4316,                 1.6961,                0.91618,                  1.745,                0.00101,                0.00101,                0.00101
                     43,                0.80426,                0.48688,                 1.0168,                0.90415,                0.77941,                0.83646,                0.46505,                 1.7035,                0.97252,                 1.6778,             0.00098525,             0.00098525,             0.00098525
                     44,                0.79779,                0.49228,                 1.0122,                 0.9052,                0.80882,                 0.8943,                0.48831,                 1.5472,                0.81646,                 1.5887,              0.0009605,              0.0009605,              0.0009605
                     45,                0.76534,                0.49359,                 1.0127,                0.87016,                   0.75,                0.83519,                0.46134,                 1.6207,                0.93489,                 1.6972,             0.00093575,             0.00093575,             0.00093575
                     46,                0.75716,                0.47706,                 1.0107,                0.91365,                   0.75,                0.85395,                0.46827,                 1.5863,                0.88712,                 1.6814,               0.000911,               0.000911,               0.000911
                     47,                0.76604,                0.47033,                0.99748,                0.94172,                0.79412,                0.86279,                0.45922,                 1.6978,                0.87949,                 1.7602,             0.00088625,             0.00088625,             0.00088625
                     48,                0.74371,                 0.4491,                 1.0011,                0.97364,                0.80882,                0.91057,                0.51086,                 1.5485,                 0.7588,                 1.6901,              0.0008615,              0.0008615,              0.0008615
                     49,                0.73487,                  0.439,                0.99096,                0.82435,                0.77941,                0.82803,                0.44769,                 1.6643,                0.98257,                 1.7454,             0.00083675,             0.00083675,             0.00083675
                     50,                0.68815,                0.43577,                0.98561,                0.83941,                0.80882,                0.86751,                0.49704,                 1.5771,                0.89598,                 1.7244,               0.000812,               0.000812,               0.000812
                     51,                0.68534,                0.40632,                0.97684,                0.94728,                0.79267,                0.88649,                0.51303,                 1.5516,                0.84758,                 1.6661,             0.00078725,             0.00078725,             0.00078725
                     52,                0.67495,                0.39436,                0.96224,                0.90306,                  0.822,                0.87981,                 0.5045,                 1.5506,                0.84108,                  1.682,              0.0007625,              0.0007625,              0.0007625
                     53,                0.67443,                 0.3998,                0.96464,                 0.9406,                0.82353,                0.88978,                0.51175,                 1.5824,                0.80298,                 1.7117,             0.00073775,             0.00073775,             0.00073775
                     54,                0.64964,                0.40956,                0.96164,                0.97858,                0.77941,                0.89352,                0.50368,                 1.6103,                0.90145,                 1.7285,               0.000713,               0.000713,               0.000713
                     55,                0.65945,                0.39557,                0.96294,                0.96132,                0.80882,                0.92017,                0.51056,                  1.569,                0.85607,                 1.6695,             0.00068825,             0.00068825,             0.00068825
                     56,                0.61827,                 0.3809,                0.94955,                0.95001,                0.83841,                0.91789,                0.52024,                 1.5589,                0.80233,                 1.7127,              0.0006635,              0.0006635,              0.0006635
                     57,                0.64149,                0.38404,                0.95079,                0.89824,                0.80882,                0.90465,                0.49683,                 1.5458,                 0.8175,                 1.6716,             0.00063875,             0.00063875,             0.00063875
                     58,                0.62984,                0.38753,                0.93682,                0.86576,                0.86765,                0.89913,                0.49933,                 1.5925,                0.86156,                 1.7936,               0.000614,               0.000614,               0.000614
                     59,                0.58247,                0.36794,                0.93745,                0.91785,                 0.8216,                0.88845,                0.50702,                 1.6478,                0.83594,                 1.8108,             0.00058925,             0.00058925,             0.00058925
                     60,                0.59083,                0.35266,                0.92947,                0.96141,                0.80882,                0.90275,                0.51742,                 1.6114,                 0.8626,                 1.7446,              0.0005645,              0.0005645,              0.0005645
                     61,                0.58046,                0.36178,                0.92823,                0.91496,                 0.7912,                0.86059,                0.51141,                 1.5417,                0.85852,                 1.7469,             0.00053975,             0.00053975,             0.00053975
                     62,                0.55876,                 0.3476,                0.92619,                0.89462,                 0.7491,                  0.834,                0.49924,                 1.5676,                0.91088,                 1.8144,               0.000515,               0.000515,               0.000515
                     63,                0.57282,                0.35069,                0.93788,                0.93416,                0.83462,                 0.8988,                0.51706,                 1.5908,                0.84568,                 1.7494,             0.00049025,             0.00049025,             0.00049025
                     64,                0.55528,                0.34334,                0.91833,                0.93318,                0.82149,                0.88742,                0.52211,                 1.5798,                0.88474,                  1.727,              0.0004655,              0.0004655,              0.0004655
                     65,                0.58396,                 0.3603,                0.93808,                 0.9284,                0.77941,                0.87734,                0.51031,                 1.6066,                0.83982,                  1.847,             0.00044075,             0.00044075,             0.00044075
                     66,                0.54696,                 0.3363,                0.92084,                0.98209,                0.80627,                0.90921,                0.51794,                 1.5967,                0.89768,                 1.7889,               0.000416,               0.000416,               0.000416
                     67,                 0.5196,                0.32527,                0.90184,                 0.9132,                0.80882,                0.91004,                0.51577,                  1.602,                0.81178,                 1.7337,             0.00039125,             0.00039125,             0.00039125
                     68,                0.50393,                0.31796,                0.90686,                0.94537,                0.80882,                 0.9049,                0.50592,                 1.6284,                0.82844,                 1.7799,              0.0003665,              0.0003665,              0.0003665
                     69,                0.53476,                0.32858,                0.90886,                0.94623,                0.77647,                0.88771,                0.51836,                 1.6062,                0.78506,                 1.7811,             0.00034175,             0.00034175,             0.00034175
                     70,                0.50202,                0.31661,                0.90723,                0.93231,                0.82353,                0.88939,                0.51558,                 1.5638,                0.80237,                  1.763,               0.000317,               0.000317,               0.000317
                     71,                0.46454,                0.27451,                 0.8699,                0.96428,                0.79399,                0.88983,                0.52969,                 1.5656,                0.80684,                 1.7641,             0.00029225,             0.00029225,             0.00029225
                     72,                0.43661,                0.26988,                0.85744,                0.89038,                0.83618,                0.90139,                0.51169,                 1.6043,                0.75484,                 1.8085,              0.0002675,              0.0002675,              0.0002675
                     73,                0.41714,                0.26113,                0.85821,                0.93205,                0.80691,                0.91089,                0.52949,                 1.5251,                0.74521,                 1.7315,             0.00024275,             0.00024275,             0.00024275
                     74,                0.40733,                0.24766,                0.85147,                0.96407,                0.78934,                0.90822,                0.53454,                 1.5482,                0.81553,                 1.7377,               0.000218,               0.000218,               0.000218
                     75,                0.39224,                0.24814,                 0.8383,                0.92455,                0.79412,                0.89427,                0.53614,                 1.5567,                0.84973,                 1.7803,             0.00019325,             0.00019325,             0.00019325
                     76,                0.39647,                 0.2455,                0.84686,                0.98075,                 0.7491,                0.88062,                0.52963,                 1.5433,                0.82185,                 1.8107,              0.0001685,              0.0001685,              0.0001685
                     77,                 0.3913,                0.24702,                0.85423,                0.94608,                0.77413,                 0.8868,                0.51646,                 1.5848,                0.79456,                 1.8512,             0.00014375,             0.00014375,             0.00014375
                     78,                0.36889,                0.22957,                0.83483,                0.96408,                0.78938,                0.89034,                0.54993,                 1.5079,                0.75818,                 1.7492,               0.000119,               0.000119,               0.000119
                     79,                0.36983,                0.23187,                0.83025,                0.96046,                0.79412,                0.88839,                0.54065,                 1.5268,                0.77462,                 1.7963,              9.425e-05,              9.425e-05,              9.425e-05
                     80,                0.37689,                 0.2276,                0.83044,                0.96028,                0.79412,                0.89847,                0.54434,                  1.516,                0.76982,                 1.7731,               6.95e-05,               6.95e-05,               6.95e-05
